module,start,events,times
MATH20320,25:44.4,"['START', 'FINISH']","[0, 1761]"
MATH40370,22:14.0,"['TRANSFER', 'FINISH', 'START']","[1290, 2051, 0]"
ACM10060,23:07.4,"['START', 'FINISH']","[0, 975]"
MATH10260,03:05.2,"['START', 'FINISH']","[0, 7695]"
MATH10350,13:51.9,"['START', 'FINISH']","[0, 2566]"
MATH20070,46:45.7,"['START', 'TRANSFER', 'FINISH']","[0, 3677, 3835]"
MATH10350,07:21.5,"['FINISH', 'START']","[3779, 0]"
MATH10350,08:28.3,"['FINISH', 'START']","[40, 0]"
MATH10350,13:05.7,"['START', 'FINISH']","[0, 2470]"
MATH10350,16:48.5,"['START', 'FINISH']","[0, 1959]"
MATH10350,37:07.8,"['TRANSFER', 'FINISH', 'START', 'START']","[3774, 5171, 232, 0]"
MST30070,39:18.7,"['START', 'FINISH']","[0, 526]"
MATH10350,56:06.0,"['START', 'FINISH']","[0, 2466]"
MATH20260,02:48.8,"['START', 'FINISH']","[0, 1202]"
MATH40370,24:22.1,"['TRANSFER', 'FINISH', 'START']","[939, 5771, 0]"
ACM10060,41:14.1,"['START', 'FINISH']","[0, 4834]"
STAT20060,42:34.9,"['START', 'LEAVE', 'START', 'FINISH']","[0, 1146, 1153, 1165]"
ACM10060,55:48.4,"['START', 'TRANSFER', 'FINISH']","[0, 2532, 3828]"
MATH20260,17:58.7,"['START', 'FINISH']","[0, 560]"
MST20040,36:06.5,"['START', 'FINISH']","[0, 206]"
MATH30250,20:43.8,"['START', 'FINISH']","[0, 75]"
ACM10060,23:09.2,"['TRANSFER', 'FINISH', 'START', 'TRANSFER']","[7780, 7785, 0, 3393]"
ACM10060,35:59.7,"['START', 'FINISH']","[0, 83]"
MATH20180,56:53.2,"['START', 'FINISH']","[0, 2422]"
ACM10060,05:47.7,"['TRANSFER', 'FINISH', 'START', 'TRANSFER', 'LEAVE', 'TRANSFER']","[5211, 5216, 0, 164, 188, 343]"
ACM10060,10:01.1,"['START', 'FINISH']","[0, 1696]"
ACM10070,37:58.8,['START'],[0]
MATH10350,39:28.4,"['START', 'FINISH']","[0, 1520]"
ACM40090,42:19.1,"['START', 'FINISH']","[0, 24]"
MATH40370,43:06.5,"['START', 'FINISH']","[0, 1247]"
MATH10220,05:10.1,"['START', 'FINISH']","[0, 1051]"
ACM10060,11:21.0,"['START', 'FINISH']","[0, 1109]"
ACM10060,20:30.8,"['START', 'FINISH']","[0, 873]"
CVEN40070,35:14.6,"['START', 'FINISH']","[0, 4976]"
ACM10060,35:50.9,"['START', 'FINISH']","[0, 5452]"
MATH10350,48:14.9,"['START', 'FINISH']","[0, 114]"
MATH20180,55:33.5,"['START', 'FINISH']","[0, 213]"
MATH10260,00:04.3,"['START', 'FINISH']","[0, 615]"
ADEDEX428,10:22.3,"['START', 'TRANSFER']","[0, 3880]"
MST30070,13:04.4,"['START', 'FINISH']","[0, 1103]"
STAT10060,58:36.1,"['START', 'FINISH']","[0, 463]"
ACM10060,02:59.7,"['START', 'FINISH']","[0, 562]"
ACM10060,03:26.4,"['START', 'FINISH']","[0, 1240]"
MATH10260,20:28.0,"['START', 'FINISH']","[0, 791]"
MATH20260,25:20.1,"['START', 'FINISH']","[0, 1182]"
MST10030,30:33.1,"['START', 'FINISH']","[0, 2435]"
MATH10350,57:36.1,"['START', 'TRANSFER', 'FINISH']","[0, 12428, 12433]"
MATH20260,35:49.2,"['START', 'FINISH']","[0, 513]"
MST20050,34:24.9,"['START', 'TRANSFER', 'FINISH']","[0, 181, 1152]"
ACM10060,37:55.4,"['START', 'FINISH']","[0, 1825]"
MATH10260,59:21.8,"['START', 'FINISH']","[0, 3917]"
STAT10060,11:07.9,"['TRANSFER', 'FINISH', 'START']","[6392, 6480, 0]"
MATH10260,33:59.5,"['FINISH', 'START']","[7028, 0]"
MATH10260,34:30.9,"['FINISH', 'START']","[7063, 0]"
