times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors
"[0, 1761]",2015,2,3,2014/2015,2,1,2,16,"['START', 'FINISH']",MATH,2,2
"[0, 975]",2015,2,5,2014/2015,2,1,4,11,"['START', 'FINISH']",ACM,1,3
"[0, 7695]",2015,2,6,2014/2015,2,1,5,11,"['START', 'FINISH']",MATH,1,2
"[0, 2566]",2015,2,6,2014/2015,2,1,5,11,"['START', 'FINISH']",MATH,1,2
"[0, 3677, 3835]",2015,2,6,2014/2015,2,1,5,11,"['START', 'TRANSFER', 'FINISH']",MATH,2,2
"[3779, 0]",2015,2,6,2014/2015,2,1,5,12,"['FINISH', 'START']",MATH,1,2
"[40, 0]",2015,2,6,2014/2015,2,1,5,13,"['FINISH', 'START']",MATH,1,1
"[0, 2470]",2015,2,9,2014/2015,2,2,1,10,"['START', 'FINISH']",MATH,1,3
"[0, 1959]",2015,2,9,2014/2015,2,2,1,10,"['START', 'FINISH']",MATH,1,3
"[3774, 5171, 232, 0]",2015,2,9,2014/2015,2,2,1,10,"['TRANSFER', 'FINISH', 'START', 'START']",MATH,1,3
"[0, 2466]",2015,2,9,2014/2015,2,2,1,10,"['START', 'FINISH']",MATH,1,3
"[0, 1202]",2015,2,9,2014/2015,2,2,1,11,"['START', 'FINISH']",MATH,2,3
"[0, 4834]",2015,2,9,2014/2015,2,2,1,11,"['START', 'FINISH']",ACM,1,3
"[0, 1146, 1153, 1165]",2015,2,9,2014/2015,2,2,1,11,"['START', 'LEAVE', 'START', 'FINISH']",STAT,2,3
"[0, 2532, 3828]",2015,2,9,2014/2015,2,2,1,11,"['START', 'TRANSFER', 'FINISH']",ACM,1,3
"[0, 560]",2015,2,9,2014/2015,2,2,1,12,"['START', 'FINISH']",MATH,2,3
"[0, 206]",2015,2,9,2014/2015,2,2,1,12,"['START', 'FINISH']",MST,2,3
"[7780, 7785, 0, 3393]",2015,2,9,2014/2015,2,2,1,13,"['TRANSFER', 'FINISH', 'START', 'TRANSFER']",ACM,1,1
"[0, 83]",2015,2,9,2014/2015,2,2,1,13,"['START', 'FINISH']",ACM,1,1
"[0, 2422]",2015,2,9,2014/2015,2,2,1,13,"['START', 'FINISH']",MATH,2,1
"[5211, 5216, 0, 164, 188, 343]",2015,2,9,2014/2015,2,2,1,14,"['TRANSFER', 'FINISH', 'START', 'TRANSFER', 'LEAVE', 'TRANSFER']",ACM,1,3
"[0, 1696]",2015,2,9,2014/2015,2,2,1,14,"['START', 'FINISH']",ACM,1,3
[0],2015,2,9,2014/2015,2,2,1,14,['START'],ACM,1,3
"[0, 1520]",2015,2,9,2014/2015,2,2,1,14,"['START', 'FINISH']",MATH,1,3
"[0, 1051]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",MATH,1,4
"[0, 1109]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",ACM,1,4
"[0, 873]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",ACM,1,4
"[0, 5452]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",ACM,1,4
"[0, 114]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",MATH,1,4
"[0, 213]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",MATH,2,4
"[0, 615]",2015,2,9,2014/2015,2,2,1,16,"['START', 'FINISH']",MATH,1,4
"[0, 463]",2015,2,9,2014/2015,2,2,1,16,"['START', 'FINISH']",STAT,1,4
"[0, 562]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",ACM,1,4
"[0, 1240]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",ACM,1,4
"[0, 791]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MATH,1,4
"[0, 1182]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MATH,2,4
"[0, 2435]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MST,1,4
"[0, 12428, 12433]",2015,2,10,2014/2015,2,2,2,10,"['START', 'TRANSFER', 'FINISH']",MATH,1,4
"[0, 513]",2015,2,10,2014/2015,2,2,2,11,"['START', 'FINISH']",MATH,2,4
"[0, 181, 1152]",2015,2,10,2014/2015,2,2,2,12,"['START', 'TRANSFER', 'FINISH']",MST,2,3
"[0, 1825]",2015,2,10,2014/2015,2,2,2,12,"['START', 'FINISH']",ACM,1,3
"[0, 3917]",2015,2,10,2014/2015,2,2,2,12,"['START', 'FINISH']",MATH,1,3
"[6392, 6480, 0]",2015,2,10,2014/2015,2,2,2,13,"['TRANSFER', 'FINISH', 'START']",STAT,1,2
"[7028, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2
"[7063, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2
"[11664, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2
"[5744, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",ACM,1,2
"[0, 539]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",STAT,1,4
"[0, 629]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",MATH,1,4
"[1669, 0]",2015,2,10,2014/2015,2,2,2,14,"['FINISH', 'START']",STAT,1,4
"[0, 1521]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",STAT,1,4
"[0, 78]",2015,2,10,2014/2015,2,2,2,15,"['START', 'FINISH']",PHYC,1,4
"[0, 1852]",2015,2,11,2014/2015,2,2,3,10,"['START', 'FINISH']",PHYC,1,2
"[0, 1127]",2015,2,11,2014/2015,2,2,3,10,"['START', 'FINISH']",MATH,1,2
"[0, 1198]",2015,2,11,2014/2015,2,2,3,11,"['START', 'FINISH']",STAT,1,2
"[0, 1803]",2015,2,11,2014/2015,2,2,3,11,"['START', 'FINISH']",MATH,1,2
